epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,631.199,0.64862,0.95086,0.94644,0.63006,0.60971,0.70004,0.59147,0.59973,1.13324,0.91437,0.000663943,0.000663943,0.000663943
43,646.231,0.64726,0.9482,0.9594,0.68572,0.60257,0.71211,0.60164,0.60466,1.07741,0.92983,0.000659819,0.000659819,0.000659819
44,661.264,0.62107,0.88773,0.93751,0.81422,0.62843,0.75988,0.64183,0.62282,1.0612,0.93117,0.000655696,0.000655696,0.000655696
45,676.008,0.63247,0.86093,0.9586,0.81454,0.61869,0.75207,0.63215,0.60914,1.00408,0.92571,0.000651573,0.000651573,0.000651573
46,690.794,0.62439,0.85561,0.94414,0.63849,0.68333,0.70434,0.59655,0.63785,1.01121,0.92784,0.000647449,0.000647449,0.000647449
47,705.693,0.61385,0.84191,0.9412,0.67583,0.59272,0.67783,0.59157,0.64821,1.11,0.94493,0.000643326,0.000643326,0.000643326
48,720.858,0.61322,0.84217,0.9387,0.86675,0.62359,0.73605,0.62606,0.61101,1.12754,0.91622,0.000639203,0.000639203,0.000639203
49,735.612,0.63001,0.8502,0.95739,0.75463,0.69644,0.77334,0.66096,0.60735,0.98713,0.91551,0.000635079,0.000635079,0.000635079
50,750.496,0.63056,0.81873,0.94207,0.86169,0.63981,0.77091,0.66905,0.57874,0.99404,0.89671,0.000630956,0.000630956,0.000630956
51,765.516,0.61394,0.82939,0.93429,0.71894,0.67663,0.78038,0.6803,0.57923,0.95621,0.9017,0.000626832,0.000626832,0.000626832
52,780.604,0.59474,0.77508,0.92658,0.75607,0.6732,0.76876,0.68404,0.55699,0.95474,0.88953,0.000622709,0.000622709,0.000622709
53,795.573,0.59486,0.76917,0.92536,0.87734,0.64729,0.78684,0.69418,0.56254,0.94985,0.88902,0.000618586,0.000618586,0.000618586
54,810.417,0.59071,0.79585,0.93684,0.81193,0.66692,0.80228,0.70484,0.56529,0.94237,0.90097,0.000614462,0.000614462,0.000614462
55,825.477,0.58416,0.76626,0.93189,0.86311,0.62836,0.79482,0.69284,0.56784,0.84028,0.89067,0.000610339,0.000610339,0.000610339
56,841.002,0.58735,0.76408,0.93565,0.80824,0.70257,0.79935,0.69446,0.55482,0.8421,0.88449,0.000606216,0.000606216,0.000606216
57,856.091,0.58835,0.70821,0.92205,0.87891,0.72243,0.81208,0.70969,0.58897,0.83723,0.90508,0.000602092,0.000602092,0.000602092
58,871.246,0.5927,0.75157,0.9289,0.88062,0.65614,0.7872,0.68926,0.55489,0.82718,0.88795,0.000597969,0.000597969,0.000597969
59,886.504,0.59717,0.75983,0.93524,0.77729,0.67141,0.7965,0.70157,0.56493,0.86406,0.88777,0.000593846,0.000593846,0.000593846
60,901.586,0.58111,0.73915,0.91588,0.84483,0.6777,0.83185,0.7402,0.56045,0.86968,0.8863,0.000589722,0.000589722,0.000589722
61,916.54,0.60136,0.72577,0.93074,0.8329,0.71908,0.81355,0.71309,0.57427,0.92125,0.89369,0.000585599,0.000585599,0.000585599
62,931.462,0.58263,0.68294,0.92593,0.7558,0.7247,0.80553,0.70811,0.5676,0.87157,0.88499,0.000581476,0.000581476,0.000581476
63,946.423,0.57132,0.67988,0.91625,0.75191,0.806,0.82055,0.72597,0.54973,0.81656,0.90331,0.000577352,0.000577352,0.000577352
64,961.233,0.57349,0.7071,0.92596,0.69456,0.75089,0.78871,0.68636,0.55645,0.91783,0.89193,0.000573229,0.000573229,0.000573229
65,976.168,0.57282,0.68651,0.9224,0.8319,0.73051,0.82126,0.70427,0.54794,0.76627,0.90869,0.000569106,0.000569106,0.000569106
66,991.293,0.56396,0.68026,0.91358,0.78432,0.65317,0.79716,0.69305,0.55343,0.85159,0.89693,0.000564982,0.000564982,0.000564982
67,1006.53,0.57109,0.72877,0.92493,0.8467,0.74427,0.83722,0.74156,0.55549,0.78546,0.90127,0.000560859,0.000560859,0.000560859
68,1021.89,0.56657,0.66704,0.91283,0.84819,0.7508,0.83592,0.74192,0.56151,0.74717,0.91601,0.000556736,0.000556736,0.000556736
69,1036.95,0.57126,0.67759,0.92279,0.90526,0.63274,0.82124,0.72949,0.5382,0.83368,0.89523,0.000552612,0.000552612,0.000552612
70,1052.16,0.54716,0.63719,0.90858,0.74132,0.78969,0.83237,0.74217,0.5214,0.76069,0.88478,0.000548489,0.000548489,0.000548489
71,1067.2,0.53989,0.61024,0.90549,0.79836,0.77955,0.82017,0.72154,0.55741,0.78913,0.90815,0.000544365,0.000544365,0.000544365
72,1082.33,0.53783,0.62503,0.90784,0.78882,0.66211,0.80791,0.72048,0.52543,0.82675,0.88043,0.000540242,0.000540242,0.000540242
73,1097.12,0.5472,0.63622,0.91554,0.83885,0.72422,0.82065,0.7273,0.53735,0.809,0.88447,0.000536119,0.000536119,0.000536119
74,1111.99,0.53172,0.62614,0.90979,0.88591,0.7364,0.8742,0.78041,0.56506,0.78842,0.89085,0.000531995,0.000531995,0.000531995
75,1126.91,0.53474,0.60285,0.91079,0.82218,0.76669,0.85002,0.75206,0.544,0.78267,0.88852,0.000527872,0.000527872,0.000527872
76,1141.7,0.5386,0.59641,0.90293,0.8016,0.73592,0.82225,0.73557,0.52787,0.76837,0.8759,0.000523749,0.000523749,0.000523749
77,1156.42,0.54854,0.62548,0.91642,0.79877,0.74073,0.82005,0.72162,0.53717,0.79496,0.88031,0.000519625,0.000519625,0.000519625
78,1171.36,0.53816,0.60787,0.91307,0.82784,0.7835,0.85203,0.76546,0.51362,0.74333,0.86294,0.000515502,0.000515502,0.000515502
79,1186.48,0.56364,0.63811,0.9078,0.70031,0.75637,0.79898,0.70997,0.52967,0.89732,0.88488,0.000511379,0.000511379,0.000511379
80,1201.46,0.52382,0.57445,0.9,0.7461,0.73319,0.79747,0.71908,0.50259,0.8565,0.86152,0.000507255,0.000507255,0.000507255
81,1216.58,0.55202,0.61061,0.90292,0.85354,0.76632,0.84052,0.74642,0.52772,0.78782,0.87792,0.000503132,0.000503132,0.000503132
82,1231.48,0.51468,0.58332,0.90117,0.78967,0.76784,0.83357,0.73759,0.52143,0.8283,0.87703,0.000499009,0.000499009,0.000499009
83,1246.48,0.51699,0.57043,0.91089,0.86629,0.71588,0.83265,0.74917,0.51061,0.80607,0.86336,0.000494885,0.000494885,0.000494885
84,1261.29,0.51979,0.56393,0.8964,0.88402,0.65125,0.83821,0.75099,0.52486,0.86968,0.87454,0.000490762,0.000490762,0.000490762
85,1276.03,0.51576,0.55805,0.90132,0.82902,0.68449,0.82667,0.73585,0.5175,0.82557,0.86583,0.000486639,0.000486639,0.000486639
86,1290.77,0.52374,0.58003,0.90316,0.89964,0.65837,0.83894,0.74985,0.51069,0.766,0.86237,0.000482515,0.000482515,0.000482515
87,1305.65,0.52825,0.57338,0.90546,0.89286,0.66727,0.82235,0.73313,0.51038,0.7765,0.87481,0.000478392,0.000478392,0.000478392
88,1320.7,0.51496,0.56796,0.90858,0.88252,0.70489,0.8371,0.75184,0.52475,0.75389,0.88656,0.000474269,0.000474269,0.000474269
89,1335.66,0.49317,0.54063,0.87817,0.86211,0.72615,0.85811,0.75348,0.53802,0.69278,0.87822,0.000470145,0.000470145,0.000470145
90,1350.75,0.52524,0.57864,0.90863,0.85496,0.70261,0.83607,0.74479,0.53536,0.79113,0.87463,0.000466022,0.000466022,0.000466022
91,1365.96,0.50331,0.54684,0.89046,0.85128,0.73138,0.8548,0.75269,0.53669,0.70008,0.87518,0.000461898,0.000461898,0.000461898
92,1381.17,0.50813,0.52947,0.90244,0.77895,0.7917,0.85452,0.76336,0.52063,0.74663,0.8691,0.000457775,0.000457775,0.000457775
93,1395.95,0.50654,0.55473,0.89177,0.76568,0.78916,0.83193,0.74065,0.54283,0.82905,0.90244,0.000453652,0.000453652,0.000453652
